UOP_CACHE_FT_LINES_3_ON_PATH_total_count, 191,        286900

UOP_CACHE_FT_LINES_4_ON_PATH_count, 191,         46857
UOP_CACHE_FT_LINES_4_ON_PATH_total_count, 191,         94264

UOP_CACHE_FT_LINES_5_ON_PATH_count, 191,          9619
UOP_CACHE_FT_LINES_5_ON_PATH_total_count, 191,         18892

UOP_CACHE_FT_LINES_6_ON_PATH_count, 191,             0
UOP_CACHE_FT_LINES_6_ON_PATH_total_count, 191,             0

UOP_CACHE_FT_LINES_7_ON_PATH_count, 191,             0
UOP_CACHE_FT_LINES_7_ON_PATH_total_count, 191,             0

UOP_CACHE_FT_LINES_8_ON_PATH_count, 191,             0
UOP_CACHE_FT_LINES_8_ON_PATH_total_count, 191,             0

UOP_CACHE_FT_LINES_9_AND_MORE_ON_PATH_count, 191,             0
UOP_CACHE_FT_LINES_9_AND_MORE_ON_PATH_total_count, 191,             0

UOP_CACHE_FT_LINES_1_OFF_PATH_count, 192,        241588
UOP_CACHE_FT_LINES_1_OFF_PATH_total_count, 192,        480168

UOP_CACHE_FT_LINES_2_OFF_PATH_count, 192,        138205
UOP_CACHE_FT_LINES_2_OFF_PATH_total_count, 192,        275827

UOP_CACHE_FT_LINES_3_OFF_PATH_count, 192,         96668
UOP_CACHE_FT_LINES_3_OFF_PATH_total_count, 192,        196331

UOP_CACHE_FT_LINES_4_OFF_PATH_count, 192,        100538
UOP_CACHE_FT_LINES_4_OFF_PATH_total_count, 192,        207923

UOP_CACHE_FT_LINES_5_OFF_PATH_count, 192,          5586
UOP_CACHE_FT_LINES_5_OFF_PATH_total_count, 192,         11728

UOP_CACHE_FT_LINES_6_OFF_PATH_count, 192,            29
UOP_CACHE_FT_LINES_6_OFF_PATH_total_count, 192,            52

UOP_CACHE_FT_LINES_7_OFF_PATH_count, 192,             0
UOP_CACHE_FT_LINES_7_OFF_PATH_total_count, 192,             0

UOP_CACHE_FT_LINES_8_OFF_PATH_count, 192,             0
UOP_CACHE_FT_LINES_8_OFF_PATH_total_count, 192,             0

UOP_CACHE_FT_LINES_9_AND_MORE_OFF_PATH_count, 192,             0
UOP_CACHE_FT_LINES_9_AND_MORE_OFF_PATH_total_count, 192,             0

UOP_CACHE_PREFETCH_PW_LENGTH_1_count, 193,             0
UOP_CACHE_PREFETCH_PW_LENGTH_1_total_count, 193,             0

UOP_CACHE_PREFETCH_PW_LENGTH_2_count, 193,             0
UOP_CACHE_PREFETCH_PW_LENGTH_2_total_count, 193,             0

UOP_CACHE_PREFETCH_PW_LENGTH_3_count, 193,             0
UOP_CACHE_PREFETCH_PW_LENGTH_3_total_count, 193,             0

UOP_CACHE_PREFETCH_PW_LENGTH_4_count, 193,             0
